TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Admin\Downloads\loader (4).zip,https://fatality.win/attachments/loader-zip.8592/,15098055,2022-04-04T16:49:36.410188+08:00,2022-04-04T16:49:41.397933+08:00,application/octet-stream
C:\Users\Admin\Downloads\loader.zip,https://fatality.win/attachments/loader-zip.8592/,15098055,2022-04-04T08:59:19.007204+08:00,2022-04-04T08:59:33.789441+08:00,application/octet-stream
C:\Users\Admin\Downloads\loader (5).zip,https://fatality.win/attachments/loader-zip.8592/,15098055,2022-04-05T01:52:04.656111+08:00,2022-04-05T01:52:06.232986+08:00,application/octet-stream
C:\Users\Admin\Downloads\loader (6).zip,https://fatality.win/attachments/loader-zip.8592/,15098055,2022-04-15T11:09:46.53818+08:00,2022-04-15T11:09:50.64009+08:00,application/octet-stream
C:\Users\Admin\Downloads\loader (3).zip,https://fatality.win/attachments/loader-zip.8592/,15098055,2022-04-04T16:24:51.534426+08:00,2022-04-04T16:24:52.806351+08:00,application/octet-stream
C:\Users\Admin\Downloads\loader (2).zip,https://fatality.win/attachments/loader-zip.8592/,15098055,2022-04-04T16:04:20.522474+08:00,2022-04-04T16:04:23.355103+08:00,application/octet-stream
C:\Users\Admin\Downloads\loader (1).zip,https://fatality.win/attachments/loader-zip.8592/,15098055,2022-04-04T15:47:49.307212+08:00,2022-04-04T15:48:24.163224+08:00,application/octet-stream
C:\Users\Admin\Downloads\vc_redist.x86 (1).exe,https://download.microsoft.com/download/9/3/F/93FCF1E7-E6A4-478B-96E7-D4B285925B00/vc_redist.x86.exe,13767776,2022-04-04T16:18:08.07376+08:00,2022-04-04T16:18:08.609215+08:00,application/octet-stream
C:\Users\Admin\Downloads\vc_redist.x86.exe,https://download.microsoft.com/download/9/3/F/93FCF1E7-E6A4-478B-96E7-D4B285925B00/vc_redist.x86.exe,13767776,2022-04-04T08:59:11.712382+08:00,2022-04-04T08:59:25.585222+08:00,application/octet-stream
C:\Users\Admin\Downloads\SunloginClientLite_1.0.1_x64.exe,https://sunlogin.oray.com/download/,13705264,2022-04-17T05:41:52.061323+08:00,2022-04-17T05:41:52.906366+08:00,application/octet-stream
