ID,Name,Type,URL,DateAdded
10,开黑啦,url,https://www.kaiheila.cn/app/channels/8510145822577502/1552498936061396,2022-05-01T12:48:17.964528+08:00
8,翻译,url,https://translate.google.com/,2022-03-20T03:20:13.183047+08:00
7,地图,url,https://maps.google.com/,2022-03-20T03:20:11.276856+08:00
6,YouTube,url,https://youtube.com/,2022-03-20T03:20:11.2763+08:00
5,Gmail,url,https://accounts.google.com/b/0/AddMailService,2022-03-20T03:20:11.275551+08:00
3,移动设备书签,folder,,2022-03-20T03:20:08.512448+08:00
2,其他书签,folder,,2022-03-20T03:20:08.512447+08:00
1,书签栏,folder,,2022-03-20T03:20:08.512446+08:00
